id_as400;enseigne;raison_sociale;adresse1;adresse2;adresse3;code_postal;code_postal_2;ville;langue;pays;devise;siret;forme_entreprise;contact_1;contact_2;contact_3;tel1;tel2;id_commercial_1;id_commercial_2;statut_commande_par;statut_livre;statut_facture
4566;HYPER U 44 LA CHAPELLE /ERDRE;HU 44 LA CHAPELLE/ERDRE;ZAC LA BERGERAIE;C.CIAL VIVE ERDRE;;44240;;LA CHAPELLE SUR ERDRE;F;FR;EUR;;****;;;;676922781;;54;***;O;O;O
4567;U EXPRESS 17 LE GRAND VILLAGE;GPV DISTRIB 17 UEXP GD VILLAGE;20 BOULEVARD DE LA PLAGE;;;17370;;LE GRAND VILLAGE;F;FR;EUR;8,81332E+13;SAS;MONSIEUR VAILLANT;MADAME BOISSEAU;;05 46 47 50 11;05 46 47 43 64;22;***;O;O;O
4568;SUPER U 49 CHALONNES;CHALODIS SU 49 CHALONNES;3 AV. LAFFON DE LADEBAT;ESPACE LAYON;;49290;;CHALONNES SUR LOIRE;F;FR;EUR;3,34719E+13;SAS;VALENTIN GALLARD;SUZANNE (COMPTA;;02.41.74.19.41;02.41.74.19.40;54;***;O;N;O
4569;U TECHNOLOGIE 49 CHALONNES;U TECHNOLOGIE 49 CHALONNES;AV. LAFFON DE LADEBAT;;;49290;;CHALONNES SUR LOIRE;F;FR;EUR;;SAS;VALENTIN GALLARD;;;02.41.74.19.41;02.41.74.19.40;54;***;N;O;N
4570;SUPER U 75 PARIS ORNANO;SU 75 PARIS ORNANO;125 RUE D E CLIGNANCOURT;;;75018;;PARIS;F;FR;EUR;;****;MR TOURAY;;;146067590;146063510;177;***;N;O;N
4571;U EXPRESS.84 ST SATURNIN LES A;DISTRITOM UEXP 84 ST SATURN;18 AVENUE ANDRE DURAND;;;84450;;SAINT SATURNIN LES AVIGNONS;F;FR;EUR;;SA;MR KHIATI;;;04 90 65 22 42;04 90 65 13 45;114;***;O;O;O
4572;SUPER U 24/DSP N.DAME DE SANIL;SU 24 N.DAME SANILHAC;N21 ZONE DE CREA VALLEE SUD;;;24660;;NOTRE DAME DE SANILHAC;F;FR;EUR;;SA;MR LUCAS JULIEN ACHAT/ RECEPT;;;05.53.05.52.80;;174;***;O;O;O
4573;SUPER U 02 FERE EN TARDENOIS; SU 02 FERE EN TARDENOIS;RU DU STADE;;;2130;;FERE EN TARDENOIS;F;FR;EUR;;SA;MONSIEUR OLIVIER;;;03 23 82 57 30;03 23 82 32 79;99;***;O;O;O
4574;SUPER U 02 CHARLY SUR MARNE; SUPER U 02 CHARLY SUR MARNE;ROUTE DU PAVANT;;;2130;;CHARLY SUR MARNE;F;FR;EUR;;SA;MONSIEUR BOISNARD;;;03.23.82.02.36;;120;***;O;O;O
4575;U EXPRESS 13 NOVES;UEXP 13 NOVES;AVENUE JOLIOT CURIE;;;13550;;NOVES;F;FR;EUR;;SA;MR MORENO;;;;;179;***;O;O;O
4576;SUPER U 57 CLOUANGE;CLOUANDIS SU 57 CLOUANGE;ZAC DE LA BELLE FONTAINE;;;57185;;CLOUANGE;F;FR;EUR;3,41553E+13;SAS;MME MOREL (ACHAT);;;03 87 58 80 88;03 87 58 90 89;26;***;O;O;O
4577;HYPER U 80 ABBEVILLE;CNP ABBEVILLE HU 80 ABBEVILLE;1 AVENUE DU PDT VINCENT AURIOL;;;80100;;ABBEVILLE;F;FR;EUR;8,80109E+13;SAS;MR DESJARDINS (ACHAT);;;03 22 25 44 44;03 22 20 65 05;181;***;O;O;O
4578;SYSTEME U MODELE;SU MODELE;3 AVENUE DES VIOLETTES;;;94380;;BONNEUIL SUR MARNE;F;FR;EUR;;SAS;;;;;;***;***;O;O;O
4579;SUPER U 06 PLASCASSIER GRASSE;SUPER U 06 PLASCASSIER GRASSE;28 ROUTE DE VALBONNE;;;6130;;GRASSE;F;FR;EUR;;SARL;GREGORY VERAN;;;04 92 60 20 80;04 92 60 20 61;69;***;O;O;O
4580;SUPER U 28 AUNEAU;SUPER U 28 AUNEAU;RUE HELLE NICE;CC LE LOREAU;;28700;;BLEURY ST SYMPHORIEN;F;FR;EUR;;****;MR CARRE ASSOCIE;MR MARIETTE MAXIME;;02 37 31 34 00;;171;***;O;O;O
4581;UEXP. 84 STE CECILE LES VIGNES;SARL ELLIDIS UEXP. 80 STE CECI;80 ROUTE DE TRAVAILLAN;;;84290;;SAINTE CECILE LES VIGNES;F;FR;EUR;;SA;MR KHIATI;;;04 90 65 22 42;04 90 65 13 45;114;***;O;O;O
4582;SUPER U 06 BEAULIEU SUR MER;SUPER U 06 BEAULIEU SUR MER;1 RUE DU 8 MAI 1945;;;6310;;BEAULIEU SUR MER;F;FR;EUR;;SARL;GREGORY VERAN;;;04 92 60 20 80;04 92 60 20 61;69;***;O;O;O
4583;UEXPR. 30 PONT ST ESPRIT;UEXP. 30 PONT ST ESPRIT;ZONE D'ACTIVITE COMMERCIALE;PORTE SUD;;30130;;PONT ST ESPRIT;F;FR;EUR;;SARL;GREGORY VERAN;;;04 92 60 20 80;04 92 60 20 61;114;***;O;O;O
4584;UEXPRESS 06 NICE;JPM ALIMENTATION UEXP. 06 NICE;57 AVENUE ST MARGUERITTES;;;6200;;NICE;F;FR;EUR;;SARL;GREGORY VERAN;;;04 92 60 20 80;04 92 60 20 61;69;***;O;N;O
4585;SUPERU.67 BERNOLSHEIM;SU 67 BERNOLSHEIM;ROUTE DE BRUMATH;;;67170;;BERNOLSHEIM;F;FR;EUR;;SAS;;;;03.88.59.34.90;;89;***;O;O;O
4586;HYPER U 14 DOUVRES LA DELIVRAN;HYPER U 14 DOUVRES LA DELIVRAN;VOIE DES ALLIES;;;14440;;DOUVRES LA DELIVRANDE;F;FR;EUR;;****;MR VALOGNES;;;231378500;;173;***;O;O;O
4587;SUPER U 76 BLANGY SUR BRESLE;MOTTIN SU 76 BLANGY S/BRESLE;RUE DES MARAIS;;;76340;;BLANGY SUR BRESLE;F;FR;EUR;;SAS;MR HURTEVENT BENOIT;;;;;46;***;O;O;O
4588;SUPER U 91 MONTGERON;SUPER U 91 MONTGERON;110 AV. DE LA REPUBLIQUE;;;91230;;MONTGERON;F;FR;EUR;;SAS;MME GONCALVES (ACHAT);;;01.69.03.50.61;;180;***;O;O;O
4589;UEXPRESS 06 NICE;JPM ALIMENTATION UEXP. 06 NICE;165 BLD NAPOLEON 3;;;6200;;NICE;F;FR;EUR;;****;;;;;;69;***;N;O;N
4590;SUPER U 21 CHENOVE;ALAE SU 21 CHENOVE;AVENUE ROLAND CARRAZ;ZAC DES GRANDS CRUS;;21300;;CHENOVE;F;FR;EUR;8,92601E+13;SA; MR BARRERE  (ACHAT);PAULA;;03.80.52.10.48;;161;***;O;O;O
4591;SUPER U 33 CLAOUEY LEGE;CLABIS SU 33 CLAOUEY LEGE;AVENUE DES HALLES;;;33950;;LEGE CAP FERRET;F;FR;EUR;8,92325E+13;SAS;MR FEUGIER;;;05 57 76 57 76;;20;***;O;O;O
4592;SUPER U 33 ST LAURENT DE MEDOC;MEDIAL SUPER U 33  ST LAURENT;18 RUE PIERRE RALLE;;;33112;;ST LAURENT DE MEDOC;F;FR;EUR;;SAS;AMANDINE CROUZILLAC;;;05.56.59.45.56;;174;***;O;O;O
4593;SUPERU 14 TROARN SALINE;SU 14 TROARN SALINE;118 RUE DE ROUEN;;;14670;;SALINE;F;FR;EUR;;****;JULIEN VERNIER (ACHAT);DAVID LORNOIS (RAYON);;02.31.23.65.65;;173;***;O;O;O
4901;COOP. U ENSEIGNE ETAB. OUEST;COOP. U ENSEIGNE ETAB. OUEST;PLACE DES PLEIADES; ZI BELLES ETOILES BP 30109;;44478;;CARQUEFOU CEDEX;F;FR;EUR;8,678E+13;SA;MONSIEUR JOEL GOUY;;;02 40 68 59 59;02 40 68 58 00;3;***;O;N;N
4902;COOP. U ENSEIGNE ETAB. EST;COOP. U ENSEIGNE ETAB. EST;43, RUE EUGENE DUCRETET;BP 62049;;68058;;MULHOUSE CEDEX;F;FR;EUR;;SA;MONSIEUR BARTHOLOME;;;03 89 32 62 00;03 89 42 11 44;3;***;O;N;O
4903;COOP. U ENSEIGNE ETAB. N/OUEST;COOP. U ENSEIGNE ETAB. N/OUEST;12, AVENUE DE LA CÔTE DE NACRE;;;14054;;CAEN CEDEX 4;F;FR;EUR;;SA;MONSIEUR MOREL;;;02 31 54 15 15;02 31 54 15 99;3;***;O;O;O
4904;COOP. U ENSEIGNE ETAB. SUD;COOP. U ENSEIGNE ETAB. SUD;PARC HERMES >-ZI  RTE DE JACOU;VENDARGUES V6;;34740;;VENDARGUES;F;FR;EUR;3,0602E+13;SA;MONSIEUR ROY;;;04 67 87 89 89;04 67 87 79 84;3;3;O;O;O
4905;ENTREPOT ST VIT;ENTREPOT ST-VIT;ZI VAUBRENOT;;;25410;;ST VIT;F;FR;EUR;;SA;;;;03 81 54 51 00;;3;***;N;O;N
4906;COOP.U ENSEIGNE ETB.NORD-OUEST;COOP.U ENSEIGNE ETB.NORD-OUEST;CAMPAGNE RANG MARE;;;27210;;BEUZEVILLE;F;FR;EUR;;SA;MONSIEUR MOREL;;;02 31 26 15 15;02 31 26 98 04;3;***;N;O;N
4907;COOP. U ENSEIGNE ETAB. OUEST;COOP. U ENSEIGNE ETAB. OUEST;SITE MARCHANDISES GENERALES;16 RUE VEGA- ZA LA HAUTE FORET;;44470;;CARQUEFOU;F;FR;EUR;;SA;MONSIEUR JOEL GOUY;;;02 28 00 27 00;;3;***;N;O;N
4908;COOP. U ENSEIGNE ETAB. OUEST;COOP. U ENSEIGNE ETAB. OUEST;RUE DES PRES RIO;;;22440;;PLOUFRAGAN;F;FR;EUR;;SA;;;;02 96 76 81 81;;3;***;N;O;N
4909;COOP. U ENSEIGNE ETAB. OUEST;COOP. U ENSEIGNE ETAB. OUEST;45 BD CHARLES DE GAULLE;ZI;;49800;;TRELAZE;F;FR;EUR;;SA;;;;02 41 37 62 45;;3;***;N;O;N
4910;COOP. U ENSEIGNE ETAB. OUEST;COOP. U ENSEIGNE ETAB. OUEST;ZAC LES FIEES DES LOIS;;;79230;;PRAHECQ;F;FR;EUR;;SA;;;;05 49 08 65 40;;3;***;N;O;N
4911;COOP. U ENSEIGNE ETAB. OUEST;COOP. U ENSEIGNE ETAB. OUEST;RUE DIEUDONNE COSTES  ZONE D2A;(PRES DE L'AEROPORT);;44860;;ST AIGNAN DE GRANDLIEU;F;FR;EUR;;SA;;;;02 51 70 71 71;;3;***;N;O;N
4912;SCHENKER JOYAU;SCHENKER JOYAU;RUE BOBBY SANDS;;;44800;;ST HERBLAIN;F;FR;EUR;;SA;CAROLINE BARRE RESP. APPRO.DPH;;;02 40 68 59 31;02 40 68 44 88;3;***;N;O;N
4913;ENTREPOT SAINT VIT 2;ENTREPOT SAINT VIT 2;RUE DU PONT DE POUILLEY;Z.I. DE LA FOULOTTIERE;;25410;;ST VIT;F;FR;EUR;;SA;RECEPT MLE TOURNIER;;;03.81.54.51.22;03.81.54.51.39;3;***;N;O;N
4914;COOP ATLANTIQUE DE SAINTES;COOP ATLANTIQUE;3 RUE DU DOCTEUR JEAN;;;17118;;SAINTES CEDEX;F;FR;EUR;5,2558E+13;SA;MARYLINE JOUANOLOU;;;05 46 97 41 11;05 46 92 03 76;3;***;O;N;O
4915;ENTREPOT INGRANDES;ENTREPOT INGRANDES;CAMP DE SAINT USTRE;;;86220;;INGRANDES;F;FR;EUR;;SA;MR LEROUX;;;05 49 02 58 77;05 49 02 58 50;3;***;N;O;N
4916;SCHLECKER FRANCE;SCHLECKER FRANCE;ZAC DES FERRIERES;ALLEE DE VAUGRENIER;;83490;;LE MUY;F;FR;EUR;;SA;MONSIEUR RUBINO;;;04 94 19 75 05;04 94 19 75 08;3;***;O;O;O
4917;UP SUD SNC;UP SUD SNC;ZAC DES FERRIERES;ALLEE DE VAUGRENIER;;83490;;LE MUY;F;FR;EUR;;SA;MONSIEUR RUBINO;;;04 94 19 75 42;04 94 19 75 41;3;***;O;O;O
4918;DIVERS SYSTEME U;DIVERS SYSTEME U;.;;;0;;INCONNU;F;FR;EUR;;****;;;;;;;;N;N;N
4919;SYSTEME U S/CENTRALE PEM;SYSTEME U S/CENTRALE PEM;.;;;0;;INCONNU;F;FR;EUR;;****;;;;;;*****;*****;N;N;N
4920;SYSTEME U CENTRALE NATIONALE;SYSTEME U CENTRALE NATIONALE;POLE BAS - SERVICE APPRO.;27 RUE VEGA;;44470;;CARQUEFOU;F;FR;EUR;;SA;;;;;;3;***;O;N;N
4921;U LOGISTIQUE LES HERBIERS;U LOGISTIQUE LES HERBIERS;5 RUE BENJAMIN FRANKLIN;;;85000;;LES HERBIERS;F;FR;EUR;;SA;;;;;;910;910;N;O;N
4922;COOPERATIVE U ENSEIGNE RUNGIS;COOPERATIVE U ENSEIGNE RUNGIS;BAT. MONTREAL-20 RUE D ARCUEIL;PARC TERTIAIRE SILIC;CS10043;94533;;RUNGIS CEDEX;F;FR;EUR;;SA;;;;;;3;***;N;N;O
4923;COOP. U ENSEIGNE ETAB. OUEST;COOP. U ENSEIGNE ETAB. OUEST;43 RUE EUGENE DUCRETET;BP62049;;68200;;MULHOUSE;F;FR;EUR;8,678E+13;SA;MONSIEUR JOEL GOUY;;;02 40 68 59 59;02 40 68 58 00;3;***;N;N;O
4924;U PROXIMITE FRANCE LE MISTRAL;UPF LE MISTRAL;ZAC DU PLAN;641 AV. DU COUNOISE;;84320;;ENTRAIGUES SUR LA SORGUE;F;FR;EUR;7,0602E+13;SA;DELPHINE LIARDET;;;04.90.48.07.0;04.90.48.08.29;17;***;O;O;O
4925;COOP. U ENSEIGNE LANGON;COOP. U ENSEIGNE LANGON;ZI LA CHATAIGNERAIE;ROUTE DE VILLANDRAUT;;33210;;LANGON;F;FR;EUR;8,10147E+13;SA;MARTINE LANNELUC;;;;;3;***;N;O;N
4926;ID LOGISTICS FRANCE MIRAMAS 2;ID LOGISTICS FRANCE MIRAMAS 2;Z.A.C. CLESUD;BATIMENT G4- RUE ALAIN COLAS;;13450;;GRANS;F;FR;EUR;4,33692E+13;SA;;;;;;3;***;N;O;N
4927;COOP. U   CLERMONT L HERAULT;COOP. U  CLERMONT L   HERAULT;ZAC LA SALAMANE;;;34800;;CLERMONT L HERAULT;F;FR;EUR;8,10147E+13;SA;;;;;;3;***;N;O;N
4928;ENTREPOT SAINTES;ENTREPOT SAINTES;GRANDES BAUCHES;;;17100;;SAINTES;F;FR;EUR;;SA;M.PICHELIN  05.46.97.42.22;MME BAHON;;05.46.97.42.31;05.46.97.41.74;3;***;N;O;N
4929;COOP. U ENSEIGNE ETAB. OUEST;COOP. U ENSEIGNE ETAB. OUEST;20 RUE D ARCUEIL;;;94533;;RUNGIS CEDEX;F;FR;EUR;8,678E+13;SA;MONSIEUR JOEL GOUY;;;02 40 68 59 59;02 40 68 58 00;3;***;N;N;O
4930;COOPERATIVE U ENSEIGNE;COOPERATIVE U ENSEIGNE;ETAB. CENTRALE NATIONALE;BP62049 43 RUE EUGENE DUCRETET;;68058;;MULHOUSE CEDEX;F;FR;EUR;3,04603E+13;SA;PHILIPPE BONGUR;;;03.89.32.62.00;03.89.42.11.44;3;***;N;N;O
4931;COOP. U ENSEIGNE ETAB. SUD;COOP. U ENSEIGNE ETAB. SUD;43 RUE EUGENE DUCRETET;BP62049;;68200;;MULHOUSE;F;FR;EUR;3,0602E+13;SA;MONSIEUR JOEL GOUY;;;02 40 68 59 59;02 40 68 58 00;3;***;N;N;N
4932;COOP. U ENSEIGNE ETAB. N.OUEST;COOP. U ENSEIGNE ETAB. N.OUEST;20 RUE D ARCUEIL;;;94533;;RUNGIS CEDEX;F;FR;EUR;;SA;;;;;;3;***;N;N;O
4933;COOP. U ENSEIGNE ETAB. N.OUEST;COOP. U ENSEIGNE ETAB. N.OUEST;43 RUE EUGENE DUCRETET;BP62049;;68200;;MULHOUSE;F;FR;EUR;;SA;;;;;;3;***;N;N;N
4934;COOP. U ENSEIGNE ETAB. EST;COOP. U ENSEIGNE ETAB. EST;20 RUE D ARCUEIL;;;94533;;RUNGIS CEDEX;F;FR;EUR;;SA;;;;;;3;***;N;N;O
4935;COOP. U ENSEIGNE ETAB. SUD;COOP. U ENSEIGNE ETAB. SUD;20 RUE D ARCUEIL;;;94533;;RUNGIS CEDEX;F;FR;EUR;;SA;;;;;;3;***;N;N;O
4990;SYSTEME U;SYSTEME U;PARC TERTIAIRE SILIC;72/92 AVENUE ROBERT SCHUMAN;;94150;;RUNGIS;F;FR;EUR;;SA;MONSIEUR GALLO;;;01 45 17 92 00;01 45 17 92 20;3;***;O;O;O
5000;ITM ALIMENTAIRE INTERNATIONAL;ITM ALIMENTAIRE INTERNATIONAL;GROUPE DPH;24 RUE AUGUSTE CHABRIERES;;75737;;PARIS CEDEX 15;F;FR;EUR;3,41192E+13;SAS;;;;01 51 71 32 85;;3;***;N;N;O
5001;SCA PRODUITS D'ENTRETIEN;SCA PRODUITS D'ENTRETIEN;CATEGORIE PARFUMERIE;24, RUE AUGUSTE CHABRIERES;;75737;;PARIS CEDEX 15;F;FR;EUR;;SA;;;;02 51 71 32 85;;3;***;O;O;O
5002;ITM 49 ANGERS BD JACQUES MILLO;TIMAEL ITM 49 ANGERS;55, BD JACQUES MILLOT;;4226;49000;;ANGERS;F;FR;EUR;3,80585E+13;SA;MONSIEUR TISSIER;;;02 41 68 90 40;02 41 47 54 31;54;***;O;O;O
5003;ITM 49 AVRILLE;JUIGNE DIST ITM 49 AVRILLE;ZI DE LA CROIX CADEAU;;4346;49243;;AVRILLE CEDEX;F;FR;EUR;3,06955E+13;SA;MADEMOISELLE CLAVREUIL;;;02 41 31 11 40;02 41 42 30 60;54;***;O;O;O
5004;ITM 16 JARNAC;NACJAR ITM 16 JARNAC;AVENUE DE L'EUROPE;;9127;16200;;JARNAC;F;FR;EUR;3,49562E+13;SA;MADEMOISELLE PAVAGEAU;;;05 45 81 61 61;05 45 81 74 93;22;***;O;O;O
5005;ITM SCA LINGE DE MAISON;SCA LINGE DE MAISON;C.D. 05;"LIEU DIT ""DIEPPE""";;28700;;GARANCIERES EN BEAUCE;F;FR;EUR;;SA;;;;02 51 71 32 85;;3;3;O;O;O
5006;ITM SCA PRODUITS D'ENTRETIEN;SCA PRODUITS D'ENTRETIEN;CATEGORIE PARFUMERIE;RUE DE LA MALADRIE;;44120;;VERTOU;F;FR;EUR;;SA;;;;02 51 71 32 85;02 40 34 75 63;3;***;O;O;O
5007;ITM 56 GUEMENE ****NE + SAISIR;ANYDI;RUE JEAN LE GUENNEC;;4138;56160;;GUEMENE SUR SCORFF;F;FR;EUR;3,42909E+13;SA;MADAME LUCAS;;;02 97 39 30 11;02 97 39 34 89;***;***;O;O;O
5008;ITM 54 LUDRES;MADOLEN ITM 54 LUDRES;CHEMIN DU BON CURE;;;54710;;LUDRES;F;FR;EUR;4,00942E+13;SA;MADAME VERKERKE-FLOQUART;;;03 83 26 17 00;03 83 25 76 78;10;***;O;O;O
5009;ITM 27 LE NEUBOURG;DISNOR;37, AVENUE DE LA LIBERATION;;;27110;;LE NEUBOURG;F;FR;EUR;6,6695E+13;SA;MONSIEUR LUC ANSELME;;;02 32 35 14 08;02 32 35 11 40;***;***;O;O;O
5010;HYPER CHAMPION 27 LOUVIERS;LODIAF;C.CIAL LE BECQUET;AVENUE DES PEUPLIERS;;27400;;LOUVIERS;F;FR;EUR;3,20104E+13;SA;MONSIEUR BEAUDEANT;;;02 32 25 93 03;02 32 40 71 33;***;***;O;O;N
5011;ITM 76 MONTVILLE;COUTAIN;SENTE DES JUMELLES;;;76710;;MONTVILLE;F;FR;EUR;3,43311E+13;SA;MONSIEUR PHILIPPE COURTAUD;;;02 35 33 42 00;02 35 33 29 12;***;***;O;O;O
5012;ITM 76 YVETOT;SEIMAR  ITM 76 STE MARIE;261 AVENUE RENE COTY;YVETOT;3392;76190;;STE MARIE DES CHAMPS;F;FR;EUR;3,10776E+13;SA;MONSIEUR DELALANDE;;;02 35 95 04 77;02 35 95 13 72;46;***;O;O;O
5013;ITM 60 CAUFFRY;LAURALEX ITM 60 CAUFFRY;ROUTE DE MOUY;DEPARTEMENTALE 137;1166;60290;;CAUFFRY;F;FR;EUR;3,89784E+13;SA;MONSIEUR FOUQUET;;;03 44 69 25 12;03 44 69 25 98;181;***;O;O;O
5014;ITM 64 ORTHEZ;ORTHALY ITM 64 ORTHEZ;ROUTE DE PAU;;;64300;;ORTHEZ;F;FR;EUR;3,28033E+13;SA;MADAME LABEYRIE;;;05 59 69 30 31;05 59 69 16 49;20;***;O;O;O
5015;ITM 32 MIRANDE;SALGAUVI ITM 32 MIRANDE;LOTISSEMENT ARTISANAL;LE POUNTET;11164;32300;;MIRANDE;F;FR;EUR;3,79541E+13;SA;MONSIEUR DELAHAYE;;;05 62 66 80 09;05 62 66 82 89;169;***;O;O;O
5016;ITM 31 BALMA;TOTANA ITM 31 BALMA;31, CHEMIN DES ARENES;;11833;31130;;BALMA;F;FR;EUR;4,07842E+13;SA;MONSIEUR COUREGE;;;05 61 24 75 00;05 61 24 75 03;169;***;O;O;O
5017;ITM 52 ST DIZIER;LAFEL ITM ST DIZIER;RUE LEON BLUM;;;52100;;ST DIZIER;F;FR;EUR;3,29869E+13;SA;MONSIEUR DURAND;;;03 25 96 01 40;03 25 96 01 46;120;***;O;O;O
5018;ECOMARCHE 51 CHATILLON/MARNE;ROLEDIC ECO 51 CHATILLON;LE CLOS DE LA NOUE;;3987;51700;;CHATILLON/MARNE;F;FR;EUR;4,35111E+13;SA;MONSIEUR DIDIER;;;03 26 59 64 21;03 26 59 64 22;120;***;O;O;O
5019;ITM 33 CESTAS;AUXANDRE ITM 33 CESTAS;C.C GAZINET NORD;8, AVENUE DE VERDUN;1047;33610;;CESTAS;F;FR;EUR;3,38522E+13;SA;MONSIEUR LAMARQUE;;;05 57 26 04 26;05 57 26 04 20;174;***;O;O;O
5020;ITM 60 CLERMONT;MURUETS ITM 60 CLERMONT;RUE DE GERARD DE NERVAL;;1169;60600;;CLERMONT;F;FR;EUR;3,91567E+13;SA;MONSIEUR GILBERT;;;03 44 68 23 23;03 44 68 23 29;181;***;O;O;O
5021;ITM 10 AIX EN OTHE;MARVILA ITM  10 AIX EN OTHE;29 RUE JOSEPH ANGLADE;;2136;10160;;AIX EN OTHE;F;FR;EUR;3,82133E+13;SA;MONSIEUR CARILLON;;;03 25 46 72 52;03 25 46 75 62;161;***;O;O;O
5022;I.T.M02 BELLEU'NE PAS UTILISER;"FONTY    ""NE PAS UTILISER""";43, AVENUE DE CHATEAU THIERRY;"   ""NE PAS UTILISER """;NE PAS UITLISER;2200;;BELLEU;F;FR;EUR;7,1698E+13;SA;MADAME DEMONCEAU;;;03 23 73 20 96;03 23 73 67 90;***;***;O;O;O
5023;ITM 10 ST JULIEN LES VILLAS;LES PHILIPPATS ITM10ST JULIEN;23, BOULEVARD DE DIJON;;2537;10800;;ST JULIEN LES VILLAS;F;FR;EUR;3,22746E+13;SA;MONSIEUR PETERS;;;03 25 75 39 94;03 25 72 93 33;161;***;O;O;O
5024;ITM 64 COARRAZE;CHAMVYLE ITM 64 COARRAZE;2, AVENUE DE LA GARE;;11683;64800;;COARRAZE;F;FR;EUR;3,26398E+13;SA;MADAME BARREAU;;;05 59 61 22 64;05 59 61 25 93;20;***;O;O;O
5025;I.T.M 60 COMPIEGNE;ALDACHANIE   NE PAS UTILISER!!;RUE MORANCAIS;;VOIR CL 056020001;60200;;COMPIEGNE;F;FR;EUR;3,84363E+13;SAS;;;;03 44 20 36 21;03 44 20 74 10;***;***;O;O;O
5026;ITM 44 ANCENIS;XAVIR;C.C LES GRANDS CHAMPS;154, RUE AUDIGANNE;;44150;;ANCENIS;F;FR;EUR;3,85376E+13;SA;MONSIEUR PEIGNET;;;02 40 96 22 97;02 40 83 10 42;***;***;O;O;O
5027;I.T.M 60 MARGNY LES COMPIEGNE;SODIMARCO;987, AVENUE RAYMOND POINCARRE;;;60280;;MARGNY LES COMPIEGNE;F;FR;EUR;9,2662E+13;SA;MONSIEUR GILBERT;;;03 44 36 46 00;03 44 36 46 01;***;***;O;O;O
5028;ITM 65 TARBES;LAGMAT ITM 65 TARBES;RUE ALSACE LORRAINE;;11649;65000;;TARBES;F;FR;EUR;3,99348E+13;SA;MONSIEUR LAGORCE;;;05 62 37 85 85;05 62 36 66 07;20;***;O;O;O
5029;I.T.M 10 CRENEY (ANNULE);COURTEFI   (NV N° 051015001);ZAC DE CRENEY;;;10150;;CRENEY PRES TROYES;F;FR;EUR;3,87877E+13;SA;MONSIEUR CARILLON;;;03 25 76 98 20;03 25 76 93 58;***;***;O;O;O
5030;I.T.M 27 PACY SUR EURE;PACY DISTRIBUTION;ROUTE DE PARIS;;;27120;;PACY SUR EURE;F;FR;EUR;3,04788E+13;SA;MADAME GOUBERT;;;02 32 36 43 16;02 32 36 07 81;***;***;O;O;O
5031;ITM 76 BOLBEC;THERAY ITM 76 BOLBEC;CC D'HERUPPES;52 AVENUE LOUIS DEBRAY;3950;76210;;BOLBEC;F;FR;EUR;3,30495E+13;SA;MADAME LAVICE;;;02 35 31 21 21;02 35 31 79 85;44;***;O;O;O
5032;I.T.M 01 GEX;FRANKAVIR ITM 01 GEX;ROUTE DE DIVONNE;;;1170;;GEX;F;FR;EUR;3,30542E+13;SAS;MADAME GODARD;;;04 50 42 30 92;04 50 41 61 47;68;***;O;O;O
5033;I.T.M 39 BALANOD;AXED ITM !!SUPPRIMER!!;ROUTE DE ST-AMOUR;;;39160;;BALANOD;F;FR;EUR;3,53806E+13;SAS;MONSIEUR DUPRE;;;03 84 48 70 00;03 84 48 87 60;***;***;O;O;O
5034;ITM 24 LE BUGUE;MANSOL ITM 24 LE BUGUE;AVENUE DE LA LIBERATION;;9711;24260;;LE BUGUE;F;FR;EUR;4,14673E+13;SAS;MME PAUL/MME FLORES;;;05 53 07 15 54;05 53 03 52 10;174;***;O;O;O
5035;ITM 17 SAUJON;LARDIDEN ITM 17 SAUJON;ROUTE DE LA TREMBLADE;;9902;17600;;SAUJON;F;FR;EUR;3,02137E+13;SAS;MME LAVAUZELLE;;;05 46 02 48 02;05 46 02 48 10;22;***;O;O;O
5036;ITM 01 CHATILLON CHALARONNE;GIMIVAL ITM 01 CHATILLON CHALA;CC DE LA DOMBES;ROUTE DE MARLIEUX;10242;1400;;CHATILLON CHALARONNE;F;FR;EUR;3,80715E+13;SAS;MONSIEUR MICHEL CARAFA;;;04 74 55 02 41;04 74 55 27 96;170;***;O;O;O
5037;ITM 54 VILLERS LES NANCY;VIRLIE ITM 54 VILLERS LES NANC;110, AVENUE PAUL MULLER;;1368;54600;;VILLERS LES NANCY;F;FR;EUR;4,03625E+13;SAS;MONSIEUR ZANGARE;;;03 83 44 26 90;03 83 44 26 23;10;***;O;O;O
5038;ITM SCA PRODUITS D'ENTRETIEN;SCA PRODUITS D'ENTRETIEN;CATEGORIE PARFUMERIE;BASE CENTRALE MAZERE;LIEU-DIT ''BONZOM'';9270;;MAZERES;F;FR;EUR;;SA;;;;05 61 69 03 09;;3;***;O;O;N
5039;ITM SCA PRODUITS D'ENTRETIEN;SCA PRODUITS D'ENTRETIEN;CATEGORIE PARFUMERIE;BASE CENTRALE NORD;15, AVENUE D'IRLANDE;80000;;AMIENS;F;FR;EUR;;SA;;;;03 22 53 24 95;;3;***;O;O;N
5040;ITM SCA PRODUITS D'ENTRETIEN;SCA PRODUITS D'ENTRETIEN;CATEGORIE PARFUMERIE;BASE CENTRALE OUEST;ZI DE ST-BARTHELEMY;49124;;ANGERS;F;FR;EUR;;SA;MADAME ALEXANDRA LECHATELAIN;;;02 41 33 55 93;02 41 42 79 71;3;***;O;O;N
